Edition,Rank,Country,Country Group,Gold,Silver,Bronze,Total
1984,3,West Germany,Germany,17,19,23,59
1984,4,China,China,15,8,9,32
1984,5,Italy,Italy,14,6,12,32
1984,6,Canada,Canada,10,18,16,44
1984,7,Japan,Japan,10,8,14,32
1984,8,New Zealand,New Zealand,8,1,2,11
1984,9,Yugoslavia,Serbia,7,4,7,18
1984,10,South Korea,South Korea,6,6,7,19
1984,11,Great Britain,Great Britain,5,11,21,37
1984,12,France,France,5,7,16,28
1984,13,Netherlands,Netherlands,5,2,6,13
1984,14,Australia,Australia,4,8,12,24
1984,15,Finland,Finland,4,2,6,12
1984,16,Sweden,Sweden,2,11,6,19
1984,17,Mexico,Mexico,2,3,1,6
1984,18,Morocco,Morocco,2,,,2
1984,19,Brazil,Brazil,1,5,2,8
1984,20,Spain,Spain,1,2,2,5
1984,21,Belgium,Belgium,1,1,2,4
1984,22,Austria,Austria,1,1,1,3
1984,23,Kenya,Kenya,1,,2,3
1984,25,Pakistan,Pakistan,1,,,1
1984,26,Switzerland,Switzerland,,4,4,8
1984,27,Denmark,Denmark,,3,3,6
1984,28,Jamaica,Jamaica,,1,2,3
1984,30,Greece,Greece,,1,1,2
1984,33,Colombia,Colombia,,1,,1
1984,40,Turkey,Turkey,,,3,3
1984,42,Algeria,Algeria,,,2,2
1984,43,Cameroon,Cameroon,,,1,1
1988,1,Soviet Union,Russia,55,31,46,132
1988,2,East Germany,Germany,37,35,30,102
1988,3,United States,United States,36,31,27,94
1988,4,South Korea,South Korea,12,10,11,33
1988,5,West Germany,Germany,11,14,15,40
1988,6,Hungary,Hungary,11,6,6,23
1988,7,Bulgaria,Bulgaria,10,12,13,35
1988,8,Romania,Romania,7,11,6,24
1988,9,France,France,6,4,6,16
1988,10,Italy,Italy,6,4,4,14
1988,11,China,China,5,11,12,28
1988,12,Great Britain,Great Britain,5,10,9,24
1988,13,Kenya,Kenya,5,2,2,9
1988,14,Japan,Japan,4,3,7,14
1988,15,Australia,Australia,3,6,5,14
1988,16,Yugoslavia,Serbia,3,4,5,12
1988,17,Czechoslovakia,Czech Republic,3,3,2,8
1988,18,New Zealand,New Zealand,3,2,8,13
1988,19,Canada,Canada,3,2,5,10
1988,20,Poland,Poland,2,5,9,16
1988,21,Norway,Norway,2,3,,5
1988,22,Netherlands,Netherlands,2,2,5,9
1988,23,Denmark,Denmark,2,1,1,4
1988,24,Brazil,Brazil,1,2,3,6
1988,25,Finland,Finland,1,1,2,4
1988,25,Spain,Spain,1,1,2,4
1988,27,Turkey,Turkey,1,1,,2
1988,28,Morocco,Morocco,1,,2,3
1988,29,Austria,Austria,1,,,1
1988,29,Portugal,Portugal,1,,,1
1988,29,Suriname,Suriname,1,,,1
1988,32,Sweden,Sweden,,4,7,11
1988,33,Switzerland,Switzerland,,2,2,4
1988,34,Jamaica,Jamaica,,2,,2
1988,35,Argentina,Argentina,,1,1,2
1988,36,Chile,Chile,,1,,1
1988,36,Costa Rica,Costa Rica,,1,,1
1988,36,Indonesia,Indonesia,,1,,1
1988,36,Iran,Iran,,1,,1
1988,36,Netherlands Antilles,Netherlands Antilles,,1,,1
1988,36,Peru,Peru,,1,,1
1988,36,Senegal,Senegal,,1,,1
1988,36,Virgin Islands,Virgin Islands,,1,,1
1988,44,Belgium,Belgium,,,2,2
1988,44,Mexico,Mexico,,,2,2
1988,46,Colombia,Colombia,,,1,1
1988,46,Djibouti,Djibouti,,,1,1
1988,46,Greece,Greece,,,1,1
1988,46,Mongolia,Mongolia,,,1,1
1988,46,Pakistan,Pakistan,,,1,1
1988,46,Philippines,Philippines,,,1,1
1988,46,Thailand,Thailand,,,1,1
1992,1,Unified Team,Russia,45,38,29,112
1992,2,United States,United States,37,34,37,108
1992,3,Germany,Germany,33,21,28,82
1992,4,China,China,16,22,16,54
1992,5,Cuba,Cuba,14,6,11,31
1992,6,Spain,Spain,13,7,2,22
1992,7,South Korea,South Korea,12,5,12,29
1992,8,Hungary,Hungary,11,12,7,30
1992,9,France,France,8,5,16,29
1992,10,Australia,Australia,7,9,11,27
1992,11,Canada,Canada,7,4,7,18
1992,12,Italy,Italy,6,5,8,19
1992,13,Great Britain,Great Britain,5,3,12,20
1992,14,Romania,Romania,4,6,8,18
1992,15,Czechoslovakia,Czech Republic,4,2,1,7
1992,16,North Korea,North Korea,4,,5,9
1992,17,Japan,Japan,3,8,11,22
1992,18,Bulgaria,Bulgaria,3,7,6,16
1992,19,Poland,Poland,3,6,10,19
1992,20,Netherlands,Netherlands,2,6,7,15
1992,21,Kenya,Kenya,2,4,2,8
1992,22,Norway,Norway,2,4,1,7
1992,23,Turkey,Turkey,2,2,2,6
1992,24,Indonesia,Indonesia,2,2,1,5
1992,25,Brazil,Brazil,2,1,,3
1992,26,Greece,Greece,2,,,2
1992,27,Sweden,Sweden,1,7,4,12
1992,28,New Zealand,New Zealand,1,4,5,10
1992,29,Finland,Finland,1,2,2,5
1992,30,Denmark,Denmark,1,1,4,6
1992,31,Morocco,Morocco,1,1,1,3
1992,32,Ireland,Ireland,1,1,,2
1992,33,Ethiopia,Ethiopia,1,,2,3
1992,34,Algeria,Algeria,1,,1,2
1992,34,Estonia,Estonia,1,,1,2
1992,34,Lithuania,Lithuania,1,,1,2
1992,37,Switzerland,Switzerland,1,,,1
1992,38,Jamaica,Jamaica,,3,1,4
1992,38,Nigeria,Nigeria,,3,1,4
1992,40,Latvia,Latvia,,2,1,3
1992,41,Austria,Austria,,2,,2
1992,41,Namibia,Namibia,,2,,2
1992,41,South Africa,South Africa,,2,,2
1992,44,Belgium,Belgium,,1,2,3
1992,44,Croatia,Croatia,,1,2,3
1992,44,Independent Olympic Participants,Independent Olympic Participants,,1,2,3
1992,44,Iran,Iran,,1,2,3
1992,48,Israel,Israel,,1,1,2
1992,49,Chinese Taipei,Chinese Taipei,,1,,1
1992,49,Mexico,Mexico,,1,,1
1992,49,Peru,Peru,,1,,1
1992,52,Mongolia,Mongolia,,,2,2
1992,52,Slovenia,Slovenia,,,2,2
1992,54,Argentina,Argentina,,,1,1
1992,54,Bahamas,Bahamas,,,1,1
1992,54,Colombia,Colombia,,,1,1
1992,54,Ghana,Ghana,,,1,1
1992,54,Malaysia,Malaysia,,,1,1
1992,54,Pakistan,Pakistan,,,1,1
1992,54,Philippines,Philippines,,,1,1
1992,54,Puerto Rico,Puerto Rico,,,1,1
1992,54,Qatar,Qatar,,,1,1
1992,54,Suriname,Suriname,,,1,1
1992,54,Thailand,Thailand,,,1,1
1996,1,United States,United States,44,32,25,101
1996,2,Russia,Russia,26,21,16,63
1996,3,Germany,Germany,20,18,27,65
1996,4,China,China,16,22,12,50
1996,5,France,France,15,7,15,37
1996,6,Italy,Italy,13,10,12,35
1996,7,Australia,Australia,9,9,23,41
1996,8,Cuba,Cuba,9,8,8,25
1996,9,Ukraine,Ukraine,9,2,12,23
1996,10,South Korea,South Korea,7,15,5,27
1996,11,Poland,Poland,7,5,5,17
1996,12,Hungary,Hungary,7,4,10,21
1996,13,Spain,Spain,5,6,6,17
1996,14,Romania,Romania,4,7,9,20
1996,15,Netherlands,Netherlands,4,5,10,19
1996,16,Greece,Greece,4,4,,8
1996,17,Czech Republic,Czech Republic,4,3,4,11
1996,18,Switzerland,Switzerland,4,3,,7
1996,19,Denmark,Denmark,4,1,1,6
1996,19,Turkey,Turkey,4,1,1,6
1996,21,Canada,Canada,3,11,8,22
1996,22,Bulgaria,Bulgaria,3,7,5,15
1996,23,Japan,Japan,3,6,5,14
1996,24,Kazakhstan,Kazakhstan,3,4,4,11
1996,25,Brazil,Brazil,3,3,9,15
1996,26,New Zealand,New Zealand,3,2,1,6
1996,27,South Africa,South Africa,3,1,1,5
1996,28,Ireland,Ireland,3,,1,4
1996,29,Sweden,Sweden,2,4,2,8
1996,30,Norway,Norway,2,2,3,7
1996,31,Belgium,Belgium,2,2,2,6
1996,32,Nigeria,Nigeria,2,1,3,6
1996,33,North Korea,North Korea,2,1,2,5
1996,34,Algeria,Algeria,2,,1,3
1996,34,Ethiopia,Ethiopia,2,,1,3
1996,36,Great Britain,Great Britain,1,8,6,15
1996,37,Belarus,Belarus,1,6,8,15
1996,38,Kenya,Kenya,1,4,3,8
1996,39,Jamaica,Jamaica,1,3,2,6
1996,40,Finland,Finland,1,2,1,4
1996,41,Indonesia,Indonesia,1,1,2,4
1996,41,Yugoslavia,Serbia,1,1,2,4
1996,43,Iran,Iran,1,1,1,3
1996,43,Slovakia,Slovakia,1,1,1,3
1996,45,Armenia,Armenia,1,1,,2
1996,45,Croatia,Croatia,1,1,,2
1996,47,Portugal,Portugal,1,,1,2
1996,47,Thailand,Thailand,1,,1,2
1996,49,Burundi,Burundi,1,,,1
1996,49,Costa Rica,Costa Rica,1,,,1
1996,49,Ecuador,Ecuador,1,,,1
1996,49,Hong Kong,Hong Kong,1,,,1
1996,49,Syria,Syria,1,,,1
1996,54,Argentina,Argentina,,2,1,3
1996,55,Namibia,Namibia,,2,,2
1996,55,Slovenia,Slovenia,,2,,2
1996,57,Austria,Austria,,1,2,3
1996,58,Malaysia,Malaysia,,1,1,2
1996,58,Moldova,Moldova,,1,1,2
1996,58,Uzbekistan,Uzbekistan,,1,1,2
1996,61,Azerbaijan,Azerbaijan,,1,,1
1996,61,Bahamas,Bahamas,,1,,1
1996,61,Chinese Taipei,Chinese Taipei,,1,,1
1996,61,Latvia,Latvia,,1,,1
1996,61,Philippines,Philippines,,1,,1
1996,61,Tonga,Tonga,,1,,1
1996,61,Zambia,Zambia,,1,,1
1996,68,Georgia,Georgia,,,2,2
1996,68,Morocco,Morocco,,,2,2
1996,68,Trinidad and Tobago,Trinidad and Tobago,,,2,2
1996,71,India,India,,,1,1
1996,71,Israel,Israel,,,1,1
1996,71,Lithuania,Lithuania,,,1,1
1996,71,Mexico,Mexico,,,1,1
1996,71,Mongolia,Mongolia,,,1,1
1996,71,Mozambique,Mozambique,,,1,1
1996,71,Puerto Rico,Puerto Rico,,,1,1
1996,71,Tunisia,Tunisia,,,1,1
1996,71,Uganda,Uganda,,,1,1
2000,1,United States,United States,37,24,32,93
2000,2,Russia,Russia,32,28,29,89
2000,3,China,China,28,16,14,58
2000,4,Australia,Australia,16,25,17,58
2000,5,Germany,Germany,13,17,26,56
2000,6,France,France,13,14,11,38
2000,7,Italy,Italy,13,8,13,34
2000,8,Netherlands,Netherlands,12,9,4,25
2000,9,Cuba,Cuba,11,11,7,29
2000,10,Great Britain,Great Britain,11,10,7,28
2000,11,Romania,Romania,11,6,9,26
2000,12,South Korea,South Korea,8,10,10,28
2000,13,Hungary,Hungary,8,6,3,17
2000,14,Poland,Poland,6,5,3,14
2000,15,Japan,Japan,5,8,5,18
2000,16,Bulgaria,Bulgaria,5,6,2,13
2000,17,Greece,Greece,4,6,3,13
2000,18,Sweden,Sweden,4,5,3,12
2000,19,Norway,Norway,4,3,3,10
2000,20,Ethiopia,Ethiopia,4,1,3,8
2000,21,Ukraine,Ukraine,3,10,10,23
2000,22,Kazakhstan,Kazakhstan,3,4,,7
2000,23,Belarus,Belarus,3,3,11,17
2000,24,Canada,Canada,3,3,8,14
2000,25,Spain,Spain,3,3,5,11
2000,26,Turkey,Turkey,3,,2,5
2000,27,Iran,Iran,3,,1,4
2000,28,Czech Republic,Czech Republic,2,3,3,8
2000,29,Kenya,Kenya,2,3,2,7
2000,30,Denmark,Denmark,2,3,1,6
2000,31,Finland,Finland,2,1,1,4
2000,32,Austria,Austria,2,1,,3
2000,33,Lithuania,Lithuania,2,,3,5
2000,34,Azerbaijan,Azerbaijan,2,,1,3
2000,34,Bahamas,Bahamas,2,,1,3
2000,36,Slovenia,Slovenia,2,,,2
2000,37,Switzerland,Switzerland,1,6,2,9
2000,38,Indonesia,Indonesia,1,3,2,6
2000,39,Slovakia,Slovakia,1,3,1,5
2000,40,Mexico,Mexico,1,2,3,6
2000,41,Nigeria,Nigeria,1,2,,3
2000,42,Algeria,Algeria,1,1,3,5
2000,43,Uzbekistan,Uzbekistan,1,1,2,4
2000,44,Latvia,Latvia,1,1,1,3
2000,44,Yugoslavia,Serbia,1,1,1,3
2000,46,New Zealand,New Zealand,1,,3,4
2000,47,Estonia,Estonia,1,,2,3
2000,47,Thailand,Thailand,1,,2,3
2000,49,Croatia,Croatia,1,,1,2
2000,50,Cameroon,Cameroon,1,,,1
2000,50,Colombia,Colombia,1,,,1
2000,50,Mozambique,Mozambique,1,,,1
2000,53,Brazil,Brazil,,6,6,12
2000,54,Jamaica,Jamaica,,6,3,9
2000,55,Belgium,Belgium,,2,3,5
2000,55,South Africa,South Africa,,2,3,5
2000,57,Argentina,Argentina,,2,2,4
2000,58,Chinese Taipei,Chinese Taipei,,1,4,5
2000,58,Morocco,Morocco,,1,4,5
2000,60,North Korea,North Korea,,1,3,4
2000,61,Moldova,Moldova,,1,1,2
2000,61,Saudi Arabia,Saudi Arabia,,1,1,2
2000,61,Trinidad and Tobago,Trinidad and Tobago,,1,1,2
2000,64,Ireland,Ireland,,1,,1
2000,64,Sri Lanka,Sri Lanka,,1,,1
2000,64,Uruguay,Uruguay,,1,,1
2000,64,Vietnam,Vietnam,,1,,1
2000,68,Georgia,Georgia,,,6,6
2000,69,Costa Rica,Costa Rica,,,2,2
2000,69,Portugal,Portugal,,,2,2
2000,71,Armenia,Armenia,,,1,1
2000,71,Barbados,Barbados,,,1,1
2000,71,Chile,Chile,,,1,1
2000,71,Iceland,Iceland,,,1,1
2000,71,India,India,,,1,1
2000,71,Israel,Israel,,,1,1
2000,71,Kuwait,Kuwait,,,1,1
2000,71,Kyrgyzstan,Kyrgyzstan,,,1,1
2000,71,Macedonia,Macedonia,,,1,1
2000,71,Qatar,Qatar,,,1,1
2004,1,United States,United States,36,39,26,101
2004,2,China,China,32,17,14,63
2004,3,Russia,Russia,28,26,36,90
2004,4,Australia,Australia,17,16,17,50
2004,5,Japan,Japan,16,9,12,37
2004,6,Germany,Germany,13,16,20,49
2004,7,France,France,11,9,13,33
2004,8,Italy,Italy,10,11,11,32
2004,9,South Korea,South Korea,9,12,9,30
2004,10,Great Britain,Great Britain,9,9,12,30
2004,11,Cuba,Cuba,9,7,11,27
2004,12,Hungary,Hungary,8,6,3,17
2004,13,Ukraine,Ukraine,8,5,9,22
2004,14,Romania,Romania,8,5,6,19
2004,15,Greece,Greece,6,6,4,16
2004,16,Brazil,Brazil,5,2,3,10
2004,17,Norway,Norway,5,,1,6
2004,18,Netherlands,Netherlands,4,9,9,22
2004,19,Sweden,Sweden,4,2,1,7
2004,20,Spain,Spain,3,11,6,20
2004,21,Canada,Canada,3,6,3,12
2004,22,Turkey,Turkey,3,3,5,11
2004,23,Poland,Poland,3,2,5,10
2004,24,New Zealand,New Zealand,3,2,,5
2004,25,Thailand,Thailand,3,1,4,8
2004,26,Belarus,Belarus,2,5,6,13
2004,27,Austria,Austria,2,4,1,7
2004,28,Ethiopia,Ethiopia,2,3,2,7
2004,29,Iran,Iran,2,2,2,6
2004,29,Slovakia,Slovakia,2,2,2,6
2004,31,Chinese Taipei,Chinese Taipei,2,2,1,5
2004,32,Georgia,Georgia,2,2,,4
2004,33,Bulgaria,Bulgaria,2,1,9,12
2004,34,Denmark,Denmark,2,1,5,8
2004,35,Jamaica,Jamaica,2,1,2,5
2004,36,Uzbekistan,Uzbekistan,2,1,2,5
2004,37,Morocco,Morocco,2,1,,3
2004,38,Argentina,Argentina,2,,4,6
2004,39,Chile,Chile,2,,1,3
2004,40,Kazakhstan,Kazakhstan,1,4,3,8
2004,41,Kenya,Kenya,1,4,2,7
2004,42,Czech Republic,Czech Republic,1,3,5,9
2004,43,South Africa,South Africa,1,3,2,6
2004,44,Croatia,Croatia,1,2,2,5
2004,45,Lithuania,Lithuania,1,2,,3
2004,46,Egypt,Egypt,1,1,3,5
2004,46,Switzerland,Switzerland,1,1,3,5
2004,48,Indonesia,Indonesia,1,1,2,4
2004,49,Zimbabwe,Zimbabwe,1,1,1,3
2004,50,Azerbaijan,Azerbaijan,1,,4,5
2004,51,Belgium,Belgium,1,,2,3
2004,52,Bahamas,Bahamas,1,,1,2
2004,52,Israel,Israel,1,,1,2
2004,54,Cameroon,Cameroon,1,,,1
2004,54,Dominican Republic,Dominican Republic,1,,,1
2004,54,United Arab Emirates,United Arab Emirates,1,,,1
2004,57,North Korea,North Korea,,4,1,5
2004,58,Latvia,Latvia,,4,,4
2004,59,Mexico,Mexico,,3,1,4
2004,60,Portugal,Portugal,,2,1,3
2004,61,Finland,Finland,,2,,2
2004,61,Serbia and Montenegro,Serbia,,2,,2
2004,63,Slovenia,Slovenia,,1,3,4
2004,64,Estonia,Estonia,,1,2,3
2004,65,Hong Kong,Hong Kong,,1,,1
2004,65,India,India,,1,,1
2004,65,Paraguay,Paraguay,,1,,1
2004,68,Colombia,Colombia,,,2,2
2004,68,Nigeria,Nigeria,,,2,2
2004,68,Venezuela,Venezuela,,,2,2
2004,71,Eritrea,Eritrea,,,1,1
2004,71,Mongolia,Mongolia,,,1,1
2004,71,Syria,Syria,,,1,1
2004,71,Trinidad and Tobago,Trinidad and Tobago,,,1,1
2008,1,China,China,51,21,28,100
2008,2,United States,United States,36,38,36,110
2008,3,Russia,Russia,23,21,29,73
2008,4,Great Britain,Great Britain,19,13,15,47
2008,5,Germany,Germany,16,10,15,41
2008,6,Australia,Australia,14,15,17,46
2008,7,South Korea,South Korea,13,10,8,31
2008,8,Japan,Japan,9,6,10,25
2008,9,Italy,Italy,8,9,10,27
2008,10,France,France,7,16,18,41
2008,11,Ukraine,Ukraine,7,5,15,27
2008,12,Netherlands,Netherlands,7,5,4,16
2008,13,Kenya,Kenya,6,4,4,14
2008,14,Jamaica,Jamaica,6,3,2,11
2008,15,Spain,Spain,5,10,3,18
2008,16,Belarus,Belarus,4,5,9,18
2008,17,Romania,Romania,4,1,3,8
2008,18,Ethiopia,Ethiopia,4,1,2,7
2008,19,Canada,Canada,3,9,7,19
2008,20,Poland,Poland,3,6,1,10
2008,21,Hungary,Hungary,3,5,2,10
2008,22,Norway,Norway,3,5,1,9
2008,23,Brazil,Brazil,3,4,8,15
2008,24,Czech Republic,Czech Republic,3,3,,6
2008,25,New Zealand,New Zealand,3,2,4,9
2008,26,Slovakia,Slovakia,3,2,1,6
2008,27,Georgia,Georgia,3,,3,6
2008,28,Cuba,Cuba,2,11,11,24
2008,29,Kazakhstan,Kazakhstan,2,4,7,13
2008,30,Denmark,Denmark,2,2,3,7
2008,31,Mongolia,Mongolia,2,2,,4
2008,33,Switzerland,Switzerland,2,1,4,7
2008,34,North Korea,North Korea,2,1,3,6
2008,35,Argentina,Argentina,2,,4,6
2008,36,Mexico,Mexico,2,,1,3
2008,37,Zimbabwe,Zimbabwe,1,3,,4
2008,38,Azerbaijan,Azerbaijan,1,2,4,7
2008,39,Turkey,Turkey,1,2,3,6
2008,41,Slovenia,Slovenia,1,2,2,5
2008,42,Bulgaria,Bulgaria,1,1,3,5
2008,44,Finland,Finland,1,1,2,4
2008,45,Latvia,Latvia,1,1,1,3
2008,46,Belgium,Belgium,1,1,,2
2008,50,India,India,1,,2,3
2008,51,Iran,Iran,1,,1,2
2008,52,Cameroon,Cameroon,1,,,1
2008,55,Sweden,Sweden,,4,1,5
2008,56,Croatia,Croatia,,2,3,5
2008,58,Greece,Greece,,2,2,4
2008,59,Trinidad and Tobago,Trinidad and Tobago,,2,,2
2008,60,Nigeria,Nigeria,,1,3,4
2008,61,Austria,Austria,,1,2,3
2008,64,Algeria,Algeria,,1,1,2
2008,70,Chile,Chile,,1,,1
2008,78,Armenia,Armenia,,,6,6
2008,79,Chinese Taipei,Chinese Taipei,,,4,4
2008,80,Afghanistan,Afghanistan,,,1,1
2012,1,United States,United States,46,28,29,103
2012,2,China,China,38,29,21,88
2012,3,Great Britain,Great Britain,29,17,19,65
2012,4,Russia,Russia,22,25,32,79
2012,5,South Korea,South Korea,13,8,7,28
2012,6,Germany,Germany,11,19,14,44
2012,7,France,France,11,11,12,34
2012,8,Australia,Australia,8,17,12,37
2012,9,Italy,Italy,8,9,11,28
2012,10,Hungary,Hungary,8,4,6,18
2012,11,Japan,Japan,7,14,17,38
2012,12,Kazakhstan,Kazakhstan,7,1,5,13
2012,13,Netherlands,Netherlands,6,6,8,20
2012,14,Ukraine,Ukraine,6,5,8,19
2012,15,New Zealand,New Zealand,6,2,5,13
2012,16,Cuba,Cuba,5,3,7,15
2012,17,Iran,Iran,4,5,3,12
2012,18,Jamaica,Jamaica,4,4,4,12
2012,19,Czech Republic,Czech Republic,4,3,3,10
2012,20,North Korea,North Korea,4,,2,6
2012,21,Spain,Spain,3,10,4,17
2012,22,Brazil,Brazil,3,5,9,17
2012,23,South Africa,South Africa,3,2,1,6
2012,24,Ethiopia,Ethiopia,3,1,3,7
2012,25,Croatia,Croatia,3,1,2,6
2012,26,Belarus,Belarus,2,5,5,12
2012,27,Romania,Romania,2,5,2,9
2012,28,Kenya,Kenya,2,4,5,11
2012,29,Denmark,Denmark,2,4,3,9
2012,30,Azerbaijan,Azerbaijan,2,2,6,10
2012,32,Switzerland,Switzerland,2,2,,4
2012,33,Lithuania,Lithuania,2,1,2,5
2012,34,Norway,Norway,2,1,1,4
2012,35,Tunisia,Tunisia,2,,1,3
2012,36,Canada,Canada,1,5,12,18
2012,37,Sweden,Sweden,1,4,3,8
2012,38,Colombia,Colombia,1,3,4,8
2012,39,Georgia,Georgia,1,3,3,7
2012,41,Turkey,Turkey,1,2,1,4
2012,42,Ireland,Ireland,1,1,4,6
2012,43,Argentina,Argentina,1,1,2,4
2012,46,Dominican Republic,Dominican Republic,1,1,,2
2012,47,Trinidad and Tobago,Trinidad and Tobago,1,,3,4
2012,48,Uzbekistan,Uzbekistan,1,,2,3
2012,49,Latvia,Latvia,1,,1,2
2012,50,Algeria,Algeria,1,,,1
2012,55,India,India,,2,4,6
2012,56,Mongolia,Mongolia,,2,3,5
2012,57,Thailand,Thailand,,2,2,4
2012,58,Egypt,Egypt,,2,,2
2012,59,Slovakia,Slovakia,,1,3,4
2012,60,Armenia,Armenia,,1,2,3
2012,63,Bulgaria,Bulgaria,,1,1,2
2012,69,Botswana,Botswana,,1,,1
2012,75,Greece,Greece,,,2,2
2012,79,Afghanistan,Afghanistan,,,1,1
